Ñòîëáåö1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52
Burundi;"Yes [Burundi. Penal Code, Articles 548, 539–546 (https://ihl-databases.icrc.org/applic/ihl/ihl-nat.nsf/0/cb9d300d8db9fc37c125707300338af2/$FILE/
Code%20P%C3%A9nal%20du%20Burundi%20.pdf)]";;;;Yes [Burundi. Penal Code 2009. Article 538 and 548 (https://ihl-databases.icrc.org/applic/ihl/ihl-nat.nsf/0/cb9d300d8db9fc37c125707300338af2/$FILE/Code%20P%C3%A9nal%20du%20Burundi%20.pdf).];"Yes [Burundi. Penal Code, Articles 548, 539–546 (https://ihl-databases.icrc.org/applic/ihl/ihl-nat.nsf/0/cb9d300d8db9fc37c125707300338af2/$FILE/
Code%20P%C3%A9nal%20du%20Burundi%20.pdf)]";Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;Yes [Burundi. Penal Code 2009. Article 538 and 548 (https://ihl-databases.icrc.org/applic/ihl/ihl-nat.nsf/0/cb9d300d8db9fc37c125707300338af2/$FILE/Code%20P%C3%A9nal%20du%20Burundi%20.pdf).];"Yes [Burundi. Penal Code, Articles 548, 539–546 (https://ihl-databases.icrc.org/applic/ihl/ihl-nat.nsf/0/cb9d300d8db9fc37c125707300338af2/$FILE/
Code%20P%C3%A9nal%20du%20Burundi%20.pdf)]";;;;;;;;;;;;;;;;;;;;
Cabo Verde;No [Cabo Verde. Penal Code (https://www.wipo.int/edocs/lexdocs/laws/pt/cv/cv001pt.pdf). ];;;;Yes [https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [Cabo Verde. Penal Code (https://www.wipo.int/edocs/lexdocs/laws/pt/cv/cv001pt.pdf). ];;;;;
Cambodia;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;
Cameroon;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;
Canada;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central African Republic;Yes [Central African Republic. Article 90 of the Penal Code (https://www.wipo.int/edocs/lexdocs/laws/fr/cf/cf003fr.pdf).];;;"Yes [Central African Republic. Criminal Code (enacted in 2010). In: Journal Officiel de la Republique Centrafricaine; 2010 (https://www.ilo.org/dyn/natlex/docs/SERIAL/88116/100661/F1881819351/CAF-88116.pdf).]";Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [Central African Republic. Article 90 of the Penal Code (https://www.wipo.int/edocs/lexdocs/laws/fr/cf/cf003fr.pdf).];;"Yes [Central African Republic. Criminal Code (enacted in 2010). In: Journal Officiel de la Republique Centrafricaine; 2010 (https://www.ilo.org/dyn/natlex/docs/SERIAL/88116/100661/F1881819351/CAF-88116.pdf).]";;;;;;;;Yes [Central African Republic. Article 90 of the Penal Code (https://www.wipo.int/edocs/lexdocs/laws/fr/cf/cf003fr.pdf).];;;;;Yes [Central African Republic. Article 90 of the Penal Code (https://www.wipo.int/edocs/lexdocs/laws/fr/cf/cf003fr.pdf).];;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];
Chad;Yes [Chad. Penal Code 2017, Articles 351, 335 and 336 (https://www.droit-afrique.com/uploads/Tchad-Code-penal-2017.pdf).];;;;;Yes [Chad. Penal Code 2017, Articles 351, 335 and 336 (https://www.droit-afrique.com/uploads/Tchad-Code-penal-2017.pdf).];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;
Chile;No [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;
China;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;
Colombia;No [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;
